DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	10q21.2	10	62631615	ZNF365	ZNF365 - ALDH7A1P4	ENSG00000138311	ENSG00000234489		151327	109593	rs10995245-A	rs10995245	0	10995245	intron_variant	1	0.348	1E-11	11.0		1.23	[1.16-1.31]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002260	Genome-wide genotyping array
2008-10-14	18820697	Miyagawa T	2008-09-28	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18820697	Variant between CPT1B and CHKB associated with susceptibility to narcolepsy.	Narcolepsy	222 Japanese ancestry cases, 389 Japanese ancestry controls	274 East Asian ancestry cases, 499 East Asian ancestry controls, 388 European ancestry cases, 397 European ancestry controls, 86 African American cases, 98 African American controls	22q13.33	22	50578924	CPT1B	CHKB-CPT1B			ENSG00000254413			rs5770917-C	rs5770917	0	5770917	intron_variant	0	0.17	6E-8	7.221848749616356		1.63	[1.37-1.95]	Affymetrix [249133]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST000236	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (onset before 2009 H1N1 influenza pandemic)	up to 893 Chinese ancestry cases with onset before the 2009 H1N1 influenza pandemic, up to 373 Chinese ancestry cases with onset after the 2009 H1N1 influenza pandemic	NA	6p21.32	6	32605694	NR	HLA-DRB1 - HLA-DQA1	ENSG00000206240	ENSG00000196735		15846	22485	rs9270965-?	rs9270965	0	9270965	intron_variant	1	NR	5E-12	11.301029995663981		1.72	[NR]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002259	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (onset before 2009 H1N1 influenza pandemic)	up to 893 Chinese ancestry cases with onset before the 2009 H1N1 influenza pandemic, up to 373 Chinese ancestry cases with onset after the 2009 H1N1 influenza pandemic	NA	6p21.32	6	32609018	NR	HLA-DRB1 - HLA-DQA1	ENSG00000206240	ENSG00000196735		19170	19161	rs9271117-?	rs9271117	0	9271117	intron_variant	1	NR	6E-14	13.221848749616356		1.75	[NR]	Affymetrix [603382]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002259	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (age of onset)	at least 1,000 Chinese ancestry cases	NA	6p21.32	6	32683763	NR	HLA-DQB1 - MTCO3P1	ENSG00000231939	ENSG00000237145		15380	22361	rs17212223-T	rs17212223	0	17212223	intergenic_variant	1	0.191	3E-8	7.522878745280337		1.95	year decrease	Affymetrix [603382]	N	narcolepsy with cataplexy, age at onset	http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847	GCST002261	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (age of onset)	at least 1,000 Chinese ancestry cases	NA	6p21.32	6	32658353	NR	HLA-DQA1 - HLA-DQB1	ENSG00000196735	ENSG00000231939		11291	1114	rs7744020-A	rs7744020	0	7744020	regulatory_region_variant	1	0.272	8E-9	8.096910013008056		1.9	year decrease	Affymetrix [603382]	N	narcolepsy with cataplexy, age at onset	http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847	GCST002261	Genome-wide genotyping array
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (age of onset)	at least 1,000 Chinese ancestry cases	NA	6p21.32	6	32665936	NR	HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1			ENSG00000233209, ENSG00000179344, ENSG00000206302, ENSG00000206237, ENSG00000225824, ENSG00000231939			rs9274477-G	rs9274477	0	9274477	intron_variant	0	0.292	2E-8	7.698970004336019		1.82	year decrease	Affymetrix [603382]	N	narcolepsy with cataplexy, age at onset	http://www.ebi.ac.uk/efo/EFO_0000614, http://www.ebi.ac.uk/efo/EFO_0004847	GCST002261	Genome-wide genotyping array
2016-02-11	25986216	Toyoda H	2015-05-15	Brain Behav Immun	www.ncbi.nlm.nih.gov/pubmed/25986216	A polymorphism in CCR1/CCR3 is associated with narcolepsy.	Narcolepsy with cataplexy	409 Japanese ancestry cases, 1,562 Japanese ancestry controls	240 Japanese ancestry cases, 869 Japanese ancestry controls	3p21.31	3	46209161	CCR1, CCR3	CCR3			ENSG00000183625			rs3181077-T	rs3181077	0	3181077	intron_variant	0	0.870	6E-6	5.221848749616356		1.63	[1.32-2.02]	Affymetrix [525196]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002912	Genome-wide genotyping array
2016-02-11	25986216	Toyoda H	2015-05-15	Brain Behav Immun	www.ncbi.nlm.nih.gov/pubmed/25986216	A polymorphism in CCR1/CCR3 is associated with narcolepsy.	Narcolepsy with cataplexy	409 Japanese ancestry cases, 1,562 Japanese ancestry controls	240 Japanese ancestry cases, 869 Japanese ancestry controls	6p22.2	6	26128218	HIST1H2AC	H2AC6			ENSG00000180573			rs198811-A	rs198811	0	198811	intron_variant	0	0.810	1E-8	8.0		1.69	[1.41-2.03]	Affymetrix [525196]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002912	Genome-wide genotyping array
2016-02-11	25986216	Toyoda H	2015-05-15	Brain Behav Immun	www.ncbi.nlm.nih.gov/pubmed/25986216	A polymorphism in CCR1/CCR3 is associated with narcolepsy.	Narcolepsy with cataplexy	409 Japanese ancestry cases, 1,562 Japanese ancestry controls	240 Japanese ancestry cases, 869 Japanese ancestry controls	10q11.23	10	50890011	A1CF	A1CF - MIX23P2	ENSG00000148584	ENSG00000236944		4336	72982	rs4290173-C	rs4290173	0	4290173	intergenic_variant	1	0.902	5E-6	5.301029995663981		1.8	[1.4-2.32]	Affymetrix [525196]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002912	Genome-wide genotyping array
2016-02-11	25986216	Toyoda H	2015-05-15	Brain Behav Immun	www.ncbi.nlm.nih.gov/pubmed/25986216	A polymorphism in CCR1/CCR3 is associated with narcolepsy.	Narcolepsy with cataplexy	409 Japanese ancestry cases, 1,562 Japanese ancestry controls	240 Japanese ancestry cases, 869 Japanese ancestry controls	14q11.2	14	22533736	TCRA	TRAJ10 - TRAJ9	ENSG00000211879	ENSG00000211880		176	1818	rs1154155-C	rs1154155	0	1154155	regulatory_region_variant	1	0.431	1E-11	11.0		1.71	[NR]	Affymetrix [525196]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST002912	Genome-wide genotyping array
2013-06-20	23496005	Luca G	2013-03-18	J Sleep Res	www.ncbi.nlm.nih.gov/pubmed/23496005	Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.	Narcolepsy with cataplexy	585 European ancestry cases	387 European ancestry cases	19q12	19	31667558	NR	RNA5SP471 - NA	ENSG00000252780			12097		rs16966122-?	rs16966122	0	16966122	intergenic_variant	1	NR	2E-6	5.698970004336019	(ESS)	1.601	[NR] unit decrease	NR [NR]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST001909	Genome-wide genotyping array
2013-06-20	23496005	Luca G	2013-03-18	J Sleep Res	www.ncbi.nlm.nih.gov/pubmed/23496005	Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.	Narcolepsy with cataplexy	585 European ancestry cases	387 European ancestry cases	8q12.1	8	58411603	UBXN2B	UBXN2B			ENSG00000215114			rs2859998-?	rs2859998	0	2859998	intron_variant	0	NR	1E-7	7.0	(Age EDS onset)	4.4145	[NR] unit decrease	NR [NR]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST001909	Genome-wide genotyping array
2013-06-20	23496005	Luca G	2013-03-18	J Sleep Res	www.ncbi.nlm.nih.gov/pubmed/23496005	Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.	Narcolepsy with cataplexy	585 European ancestry cases	387 European ancestry cases	12p13.33	12	3055757	TEAD4	TEAD4 - TSPAN9	ENSG00000197905	ENSG00000011105		15081	21598	rs12425451-?	rs12425451	0	12425451	TF_binding_site_variant	1	NR	2E-7	6.698970004336019	(Age cataplexy onset)	6.7866	[NR] unit decrease	NR [NR]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST001909	Genome-wide genotyping array
2013-06-20	23496005	Luca G	2013-03-18	J Sleep Res	www.ncbi.nlm.nih.gov/pubmed/23496005	Clinical, polysomnographic and genome-wide association analyses of narcolepsy with cataplexy: a European Narcolepsy Network study.	Narcolepsy with cataplexy	585 European ancestry cases	387 European ancestry cases	20q13.13	20	48763274	NR	PREX1			ENSG00000124126			rs2426087-?	rs2426087	0	2426087	intron_variant	0	NR	2E-6	5.698970004336019	(SE)	10.463	[NR] unit increase	NR [NR]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST001909	Genome-wide genotyping array
2010-09-22	20711174	Hor H	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711174	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.	Narcolepsy	562 European ancestry cases, 702 European ancestry controls	370 cases, 495 controls	14q11.2	14	22533736	TRA@	TRAJ10 - TRAJ9	ENSG00000211879	ENSG00000211880		176	1818	rs1154155-G	rs1154155	0	1154155	regulatory_region_variant	1	0.15	5E-7	6.301029995663981		1.54	[1.30-1.95]	Affymetrix [392949]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST000771	Genome-wide genotyping array
2010-09-22	20711174	Hor H	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711174	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.	Narcolepsy	562 European ancestry cases, 702 European ancestry controls	370 cases, 495 controls	6p21.32	6	32732306	HLA-DQA2	HLA-DQB3 - HLA-DQA2	ENSG00000228684	ENSG00000237541		611	9085	rs2858884-A	rs2858884	0	2858884	intergenic_variant	1	0.81	3E-8	7.522878745280337		1.79	[1.45-2.17]	Affymetrix [392949]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST000771	Genome-wide genotyping array
2009-05-07	19412176	Hallmayer J	2009-05-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19412176	Narcolepsy is strongly associated with the T-cell receptor alpha locus.	Narcolepsy	807 European ancestry cases, 1,074 European ancestry controls	363 European ancestry cases, 355 European ancestry  controls, 133 African American cases, 144 African American controls, 561 Asian ancestry cases, 605 Asian ancestry controls	14q11.2	14	22533736	TRA-alpha, TRAJ10	TRAJ10 - TRAJ9	ENSG00000211879	ENSG00000211880		176	1818	rs1154155-C	rs1154155	0	1154155	regulatory_region_variant	1	0.14	3E-22	21.522878745280337		1.69	[1.52-1.88]	Affymetrix [549596]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST000385	Genome-wide genotyping array
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	14q11.2	14	22533736	TCRA	TRAJ10 - TRAJ9	ENSG00000211879	ENSG00000211880		176	1818	rs1154155-G	rs1154155	0	1154155	regulatory_region_variant	1	0.148	9E-30	29.045757490560675		1.72	[1.54-1.91]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	15q25.1	15	78944951	CTSH	CTSH			ENSG00000103811			rs2289702-?	rs2289702	0	2289702	missense_variant	0	NR	1E-9	9.0		1.34	[1.18-1.52]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	1q25.1	1	173162769	TNFSF4/OX40L	GOT2P2 - TNFSF4	ENSG00000230849	ENSG00000117586		20419	20962	rs7553711-C	rs7553711	0	7553711	regulatory_region_variant	1	0.285	4E-8	7.3979400086720375		1.33	[1.21-1.46]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	10q21.2	10	62631615	ZNF365	ZNF365 - ALDH7A1P4	ENSG00000138311	ENSG00000234489		151327	109593	rs10995245-A	rs10995245	0	10995245	intron_variant	1	0.348	3E-7	6.522878745280337		1.2	[1.09-1.31]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	1p34.3	1	34692115	MIR552, GJB5	MIR552 - SMIM12	ENSG00000207941	ENSG00000163866		22421	20622	rs10915020-A	rs10915020	0	10915020	intergenic_variant	1	0.084	5E-7	6.301029995663981		1.32	[1.15-1.52]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	1p22.2	1	88507196	RP11-76N22.3, PKN2	PKN2-AS1			ENSG00000237505			rs306336-C	rs306336	0	306336	intron_variant	0	0.023	2E-6	5.698970004336019		1.65	[1.30-2.09]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	21q22.11	21	33278486	IL10RB	IL10RB			ENSG00000243646			rs2834168-?	rs2834168	0	2834168	intron_variant	0	NR	5E-6	5.301029995663981		1.1363636	[1.04-1.25]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
2018-04-25	23459209	Faraco J	2013-01-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23459209	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.	Narcolepsy	1,886 European ancestry cases, 10,421 European ancestry controls	NA	3p25.3	3	8565153	LMCD1/Dyxin	LMCD1-AS1, LMCD1			ENSG00000227110, ENSG00000071282			rs1027327-C	rs1027327	0	1027327	intron_variant	0	0.095	9E-6	5.045757490560675		1.36	[1.19-1.56]	Illumina [111240]	N	narcolepsy with cataplexy	http://www.ebi.ac.uk/efo/EFO_0000614	GCST005522	Targeted genotyping array [ImmunoChip]
