"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4810479-<b>T</b>,"8 x 10-34",,0.7028,'-,'-,'-,"PCIF1, PLTP","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,20:45916409
rs326222-<b>T</b>,"7 x 10-29",,0.3638,'-,'-,'-,DDB2,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,11:47238117
rs235314-<b>T</b>,"2 x 10-9",,0.496,'-,'-,'-,PTTG1IP,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,21:44851537
rs12154627-<b>T</b>,"3 x 10-24",,0.5636,'-,'-,'-,"KLF14, H4P1","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,7:130738173
rs56960668-<b>A</b>,"4 x 10-9",,0.3073,'-,'-,'-,"GPIHBP1, ZFP41","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,8:143218568
rs61941677-<b>C</b>,"4 x 10-21",(EA),0.8724,'-,'-,'-,SCARB1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,12:124840464
rs200411784-<b>?</b>,"3 x 10-8",,0.7615,'-,'-,'-,RNU4-17P,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,18:60184229
rs570524-<b>T</b>,"3 x 10-20",(EA),0.8575,'-,'-,'-,TTC39B,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,9:15295485
rs2925979-<b>T</b>,"1 x 10-19",,0.2997,'-,'-,'-,CMIP,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,16:81501185
rs2862183-<b>T</b>,"4 x 10-7",,0.22,'-,'-,'-,NIFK-AS1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,2:121657822
rs295849-<b>T</b>,"7 x 10-7",,0.38,'-,'-,'-,LHX1-DT,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,17:36804493
rs141588480-<b>?</b>,"6 x 10-7",,0.95,'-,'-,'-,SNTA1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,20:33426108
rs4847412-<b>C</b>,"1 x 10-17",,0.4128,'-,'-,'-,DR1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,1:93363691
rs4969143-<b>T</b>,"1 x 10-15",,0.376,'-,'-,'-,PGS1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,17:78409655
rs1806895-<b>T</b>,"1 x 10-15",,0.8558,'-,'-,'-,DGAT2,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,11:75762670
rs3768321-<b>T</b>,"2 x 10-15",,0.173,'-,'-,'-,"PABPC4-AS1, PABPC4","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,1:39570256
rs56959712-<b>T</b>,"7 x 10-13",(EA),0.2159,'-,'-,'-,"HCAR2, HCAR3","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,12:122703928
rs9304381-<b>T</b>,"1 x 10-56",,0.8098,'-,'-,'-,"SMUG1P1, LIPG","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,18:49631864
rs190528931-<b>A</b>,"2 x 10-12",,0.0369,'-,'-,'-,MACROD1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,11:64143801
rs2575876-<b>A</b>,"9 x 10-51",,0.2448,'-,'-,'-,ABCA1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,9:104903458
rs2972140-<b>T</b>,"1 x 10-11",(EA),0.355,'-,'-,'-,DSTNP5,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,2:226239395
rs1800961-<b>T</b>,"6 x 10-36",,0.0337,'-,'-,'-,HNF4A,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,20:44413724
rs2013208-<b>T</b>,"1 x 10-10",,0.532,'-,'-,'-,"RBM6, RBM5","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,3:50091966
rs4802871-<b>A</b>,"5 x 10-10",,0.3849,'-,'-,'-,"ZNF577, FPR3","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,19:51817487
rs10864726-<b>T</b>,"1 x 10-25",(EA),0.5956,'-,'-,'-,GALNT2,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,1:230160406
rs2494747-<b>T</b>,"3 x 10-9",,0.5454,'-,'-,'-,AKT1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,14:104792100
rs28832309-<b>C</b>,"2 x 10-21",,0.073,'-,'-,'-,"CD36, SEMA3C","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,7:80690622
rs79719909-<b>A</b>,"3 x 10-8",,0.8073,'-,'-,'-,"LINC02468, PDE3A","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,12:20321772
rs11869286-<b>C</b>,"7 x 10-21",(EA),0.6652,'-,'-,'-,STARD3,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,17:39657603
rs72786786-<b>A</b>,"1 x 10-500",(EA),0.3106,'-,'-,'-,"CETP, HERPUD1","HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,16:56951602
rs2058804-<b>A</b>,"2 x 10-19",,0.4548,'-,'-,'-,KCTD10,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,12:109471206
rs13135092-<b>A</b>,"5 x 10-19",,0.9311,'-,'-,'-,SLC39A8,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,4:102276925
rs12692738-<b>T</b>,"5 x 10-19",(EA),0.7622,'-,'-,'-,COBLL1,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,2:164701742
rs2254537-<b>A</b>,"2 x 10-16",,0.7098,'-,'-,'-,GPAM,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,10:112157327
rs112535818-<b>C</b>,"9 x 10-15",,0.9143,'-,'-,'-,PIGV,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,1:26795661
rs6461354-<b>T</b>,"6 x 10-14",,0.4444,'-,'-,'-,SNX13,"HDL cholesterol x physical activity interaction (2df test)","HDL cholesterol change measurement, physical activity",'-,GCST007282,7:17874977
rs247616-<b>T</b>,"9 x 10-13",,0.326,'-,"0.0071 unit increase",[0.0090-0.0130],"HERPUD1, CETP","Response to statins (HDL cholesterol change)","HDL cholesterol change measurement, response to statin",'-,GCST003617,16:56955678
rs12916361-<b>?</b>,"5 x 10-6",,NR,'-,"0.0139 unit increase",[0.13-0.15],CEMIP,"Response to statins (HDL cholesterol change)","HDL cholesterol change measurement, response to statin",'-,GCST003617,15:80945704
chr15:51235835-<b>?</b>,"5 x 10-7",(European),NR,'-,"0.06143 unit decrease",[0.036-0.087],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr9:16979194-<b>?</b>,"9 x 10-6",(European),NR,'-,"0.02482 unit decrease",[-0.00078-0.05042],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr12:12727200-<b>?</b>,"9 x 10-6",(European),NR,'-,"0.0487 unit increase",[0.028-0.069],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr1:91944137-<b>?</b>,"3 x 10-6",(European),NR,'-,"0.03538 unit decrease",[0.0092-0.0615],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr7:27614112-<b>?</b>,"3 x 10-6",(European),NR,'-,"0.01886 unit decrease",[0.0045-0.0332],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr13:71763633-<b>?</b>,"6 x 10-6",(European),NR,'-,"0.02145 unit decrease",[0.00032-0.04258],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr11:8398757-<b>?</b>,"2 x 10-6",(European),NR,'-,"0.05053 unit decrease",[0.024-0.077],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr1:81874455-<b>?</b>,"9 x 10-6",(European),NR,'-,"0.03997 unit decrease",[0.013-0.067],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr17:6437220-<b>?</b>,"7 x 10-6",(European),NR,'-,"0.04826 unit decrease",[0.02-0.076],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr3:18404279-<b>?</b>,"6 x 10-6",(European),NR,'-,"0.04321 unit increase",[0.021-0.066],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr8:8219349-<b>?</b>,"9 x 10-6",(European),NR,'-,"0.02634 unit decrease",[0.013-0.04],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
chr18:8858808-<b>?</b>,"7 x 10-7",(European),NR,'-,"0.03304 unit decrease",[0.015-0.051],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
rs72744354-<b>G</b>,"5 x 10-7",(European),0.96,'-,"0.066 unit decrease",[0.046-0.086],"MIR4713HG, TNFAIP8L3","Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,15:51060678
chr15:51473345-<b>?</b>,"5 x 10-7",(European),NR,'-,"0.06432 unit decrease",[0.038-0.091],'-,"Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,"Mapping not available"
rs62041965-<b>G</b>,"3 x 10-7",(European),0.95,'-,"0.064 unit increase",[0.044-0.084],"MAF, RBFOX1","Response to fenofibrate (HDL cholesterol levels)","HDL cholesterol change measurement, response to fenofibrate",'-,GCST003485,16:79517330
rs3738441-<b>?</b>,"9 x 10-7",(AA),NR,'-,"0.039 unit increase",'-,TGFBR3,"HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,1:91758510
rs2028196-<b>?</b>,"9 x 10-7",,NR,'-,"0.013 unit decrease",'-,"LINC01381, POMC","HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,2:25175973
rs1597595-<b>?</b>,"7 x 10-7",(AA),NR,'-,"0.025 unit increase",'-,'-,"HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,2:147192553
rs7709909-<b>?</b>,"1 x 10-8",(AA),NR,'-,"0.045 unit decrease",'-,MSH3,"HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,5:80705351
rs7214842-<b>?</b>,"1 x 10-6",(AA),NR,'-,"0.024 unit increase",'-,STX8,"HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,17:9445693
rs71313049-<b>?</b>,"7 x 10-7",(AA),NR,'-,"0.043 unit decrease",'-,CELSR1,"HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes","HDL cholesterol change measurement, response to simvastatin, response to fenofibrate","type ii diabetes mellitus",GCST004763,22:46458337
rs3764261-<b>?</b>,"2 x 10-8",,0.28,'-,"0.178 unit increase",'-,"HERPUD1, CETP","HDL cholesterol change in response to niacin in statin-treated individuals","HDL cholesterol change measurement, response to statin, response to vitamin B3",'-,GCST009880,16:56959412
rs13248499-<b>G</b>,"1 x 10-11",,NR,'-,"0.025 unit increase",'-,SNTB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:120848349
rs7079858-<b>G</b>,"2 x 10-8",(EA),0.911,'-,"0.037 unit increase",'-,RPL19P16,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,10:121099663
rs7079858-<b>G</b>,"5 x 10-8",,NR,'-,"0.031 unit increase",'-,RPL19P16,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,10:121099663
rs7935422-<b>T</b>,"2 x 10-8",(EA),0.599,'-,"0.022 unit increase",'-,"PHLDA2, NAP1L4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,11:2937308
rs7935422-<b>T</b>,"2 x 10-8",,NR,'-,"0.02 unit increase",'-,"PHLDA2, NAP1L4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,11:2937308
rs11231698-<b>C</b>,"3 x 10-6",,NR,'-,"0.038 unit increase",'-,"FLRT1, MACROD1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,11:64109691
rs7148864-<b>A</b>,"7 x 10-10",(EA),0.796,'-,"0.03 unit decrease",'-,"PLEKHG3, NUP50P1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,14:64653121
rs7148864-<b>A</b>,"1 x 10-8",,NR,'-,"0.025 unit decrease",'-,"PLEKHG3, NUP50P1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,14:64653121
chr14:92498829:D-<b>ATAT</b>,"2 x 10-7",(EA),0.767,'-,"0.024 unit decrease",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
chr14:92498829:D-<b>ATAT</b>,"1 x 10-8",,NR,'-,"0.023 unit decrease",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
rs138331350-<b>G</b>,"3 x 10-11",(EA),0.942,'-,"0.048 unit decrease",'-,FANCB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,X:14841981
rs138331350-<b>G</b>,"1 x 10-12",,NR,'-,"0.049 unit decrease",'-,FANCB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,X:14841981
rs193084249-<b>A</b>,"2 x 10-14",(EA),0.98,'-,"0.113 unit increase",'-,"ARID1A, RNU7-29P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26661155
rs193084249-<b>A</b>,"2 x 10-14",,NR,'-,"0.114 unit increase",'-,"ARID1A, RNU7-29P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26661155
rs12748152-<b>C</b>,"5 x 10-13",(EA),0.925,'-,"0.051 unit increase",'-,"RN7SL165P, PIGV","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26811902
rs12748152-<b>C</b>,"3 x 10-14",,NR,'-,"0.052 unit increase",'-,"RN7SL165P, PIGV","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26811902
rs79598313-<b>C</b>,"4 x 10-14",(EA),0.979,'-,"0.099 unit increase",'-,KDF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26958422
rs79598313-<b>C</b>,"1 x 10-14",,NR,'-,"0.098 unit increase",'-,KDF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:26958422
rs72634501-<b>T</b>,"4 x 10-8",(EA),0.785,'-,"0.027 unit increase",'-,MACF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39085816
rs72634501-<b>T</b>,"3 x 10-9",,NR,'-,"0.027 unit increase",'-,MACF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39085816
rs17264866-<b>C</b>,"1 x 10-15",(EA),0.762,'-,"0.035 unit increase",'-,PPIEL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39557105
rs17264866-<b>C</b>,"9 x 10-19",,NR,'-,"0.037 unit increase",'-,PPIEL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39557105
rs4660293-<b>A</b>,"1 x 10-15",(EA),0.762,'-,"0.035 unit increase",'-,PABPC4,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39562508
rs4660293-<b>A</b>,"9 x 10-19",,NR,'-,"0.037 unit increase",'-,PABPC4,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39562508
rs17513135-<b>C</b>,"1 x 10-16",(EA),0.769,'-,"0.037 unit increase",'-,"PABPC4, PABPC4-AS1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39570014
rs9987289-<b>A</b>,"2 x 10-45",,NR,'-,"0.084 unit decrease",'-,"RNU6-526P, RNU6-1151P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9325848
rs4841132-<b>A</b>,"2 x 10-35",(EA),0.087,'-,"0.083 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9326086
rs4841132-<b>A</b>,"4 x 10-10",(Hispanic),0.161,'-,"0.104 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9326086
rs4841132-<b>A</b>,"4 x 10-47",,NR,'-,"0.086 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9326086
rs6601299-<b>T</b>,"1 x 10-33",(EA),0.096,'-,"0.077 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327181
rs6601299-<b>T</b>,"6 x 10-9",(Hispanic),0.196,'-,"0.09 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327181
rs6601299-<b>T</b>,"3 x 10-44",,NR,'-,"0.079 unit decrease",'-,"RNU6-1151P, RNU6-526P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327181
rs2126259-<b>T</b>,"2 x 10-33",(EA),0.096,'-,"0.076 unit decrease",'-,"RNU6-526P, RNU6-1151P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327636
rs2126259-<b>T</b>,"7 x 10-9",(Hispanic),0.198,'-,"0.089 unit decrease",'-,"RNU6-526P, RNU6-1151P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327636
rs2126259-<b>T</b>,"1 x 10-43",,NR,'-,"0.078 unit decrease",'-,"RNU6-526P, RNU6-1151P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:9327636
rs4455790-<b>C</b>,"8 x 10-7",,NR,'-,"0.021 unit decrease",'-,RP1L1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:10634174
rs7016529-<b>T</b>,"2 x 10-25",(EA),0.983,'-,"0.152 unit increase",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19949120
rs7016529-<b>T</b>,"1 x 10-22",,NR,'-,"0.119 unit increase",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19949120
